"Date","#1","#2","#3","#4","#5","#6","S1","S2"
"22/07/19","3","4","17","25","27","38","18","29"
"15/07/19","6","11","21","24","35","40","14","44"
"08/07/19","1","16","27","33","39","44","10","36"
"01/07/19","13","14","15","19","27","44","36","37"
"24/06/19","9","22","23","32","36","40","33","37"
"17/06/19","2","18","21","22","34","35","11","19"
"10/06/19","2","3","5","7","15","19","20","23"
"03/06/19","10","12","14","16","33","41","15","40"
"27/05/19","11","18","25","29","35","40","27","38"
"20/05/19","1","2","5","12","26","36","34","39"
"13/05/19","3","6","13","36","37","43","9","24"
"06/05/19","1","20","21","30","36","41","8","32"
"29/04/19","2","6","10","14","33","42","11","30"
"22/04/19","2","6","12","18","32","44","20","30"
"15/04/19","1","13","24","38","41","42","18","30"
"08/04/19","3","4","17","22","25","30","16","45"
"01/04/19","1","7","9","10","30","32","28","41"
"25/03/19","4","13","23","28","37","42","12","19"
"18/03/19","10","25","28","30","36","42","5","6"
"11/03/19","1","5","8","20","40","44","4","39"
"04/03/19","14","19","33","37","39","43","32","35"
"25/02/19","5","14","18","23","25","40","3","19"
"18/02/19","9","11","17","18","23","30","16","35"
"11/02/19","1","14","21","33","41","44","26","37"
"04/02/19","6","22","26","31","38","42","8","23"
"28/01/19","1","6","12","14","41","42","13","23"
"21/01/19","2","17","19","24","32","43","37","40"
"14/01/19","8","11","14","18","37","43","6","9"
"07/01/19","8","9","28","39","42","43","2","45"
"31/12/18","16","24","25","32","36","39","10","20"
"24/12/18","7","14","16","19","33","39","17","23"
"17/12/18","18","31","33","36","37","40","9","25"
"10/12/18","3","14","28","33","35","36","1","15"
"03/12/18","7","22","36","40","42","44","31","37"
"26/11/18","1","2","3","16","30","45","10","21"
"19/11/18","8","15","16","19","23","24","21","27"
"12/11/18","4","14","16","27","30","38","29","37"
"05/11/18","8","28","29","33","40","42","12","18"
"29/10/18","2","27","37","41","43","45","16","33"
"22/10/18","1","6","9","19","21","34","8","12"
"15/10/18","3","4","12","23","36","43","14","31"
"08/10/18","9","11","13","19","23","35","37","41"
"01/10/18","17","19","25","36","39","43","12","34"
"24/09/18","12","19","26","29","30","45","4","32"
"17/09/18","2","7","16","36","37","40","11","26"
"10/09/18","20","22","25","34","39","45","5","35"
"03/09/18","5","6","11","17","28","33","24","37"
"27/08/18","12","16","17","28","30","33","3","24"
"20/08/18","1","2","10","17","43","44","19","30"
"13/08/18","15","24","32","34","40","42","13","16"
"06/08/18","2","16","21","31","42","44","11","33"
"30/07/18","8","11","26","29","35","40","2","7"
"23/07/18","3","11","26","32","34","37","27","38"
"16/07/18","14","16","35","37","40","42","3","15"
"09/07/18","3","6","10","11","13","37","32","44"
"02/07/18","2","5","21","22","30","33","23","26"
"25/06/18","1","8","17","26","36","40","15","21"
"18/06/18","9","16","20","23","25","32","1","42"
"11/06/18","3","4","22","23","33","44","24","38"
"04/06/18","3","4","17","31","37","40","6","22"
"28/05/18","10","19","28","32","40","44","7","13"
"21/05/18","8","10","11","21","34","39","15","23"
"14/05/18","12","17","20","25","28","45","29","39"
"07/05/18","8","14","17","33","38","39","5","44"
"30/04/18","5","8","17","21","23","24","9","44"
"23/04/18","4","7","13","14","25","31","6","19"
"16/04/18","10","11","15","35","37","40","19","20"
"09/04/18","2","11","13","26","28","41","14","33"
"02/04/18","1","4","17","24","40","42","38","44"
"26/03/18","13","24","30","36","40","41","3","39"
"19/03/18","19","20","26","34","39","42","29","43"
"12/03/18","13","14","27","34","36","45","32","41"
"05/03/18","6","9","11","13","18","24","23","33"
"26/02/18","4","5","6","7","31","32","36","44"
"19/02/18","7","9","14","18","35","37","28","39"
"12/02/18","3","4","8","10","37","39","17","43"
"05/02/18","3","9","14","30","31","43","37","38"
"29/01/18","3","18","25","34","41","44","5","27"
"22/01/18","12","17","28","33","40","42","14","38"
"15/01/18","10","14","28","40","43","45","26","37"
"08/01/18","3","6","8","24","34","40","18","26"
"01/01/18","2","24","29","31","34","37","3","16"
"25/12/17","4","18","20","27","41","45","1","19"
"18/12/17","1","20","32","43","44","45","11","22"
"11/12/17","11","17","20","22","27","38","9","28"
"04/12/17","9","13","17","24","32","43","3","14"
"27/11/17","9","13","16","38","39","41","10","43"
"20/11/17","8","14","27","29","36","38","18","45"
"13/11/17","8","11","12","21","36","38","25","42"
"06/11/17","3","7","10","13","17","22","4","40"
"30/10/17","3","7","21","23","30","38","12","17"
"23/10/17","15","16","20","21","31","41","26","44"
"16/10/17","4","25","28","39","40","42","2","45"
"09/10/17","4","8","20","29","34","40","2","25"
"02/10/17","7","12","17","26","29","36","6","31"
"25/09/17","8","10","18","33","39","45","1","31"
"18/09/17","4","9","13","14","18","43","2","37"
"11/09/17","2","6","7","11","13","26","29","35"
"04/09/17","7","8","13","16","24","37","5","20"
"28/08/17","11","31","33","38","42","44","13","28"
"21/08/17","3","8","16","19","23","45","29","36"
"14/08/17","8","9","10","20","34","35","19","31"
"07/08/17","6","29","32","35","41","44","3","18"
"31/07/17","4","8","12","27","28","35","15","26"
"24/07/17","1","13","20","23","28","39","18","35"
"17/07/17","4","7","10","21","40","42","13","43"
"10/07/17","12","17","21","24","37","42","2","33"
"03/07/17","8","9","10","23","34","42","11","43"
"26/06/17","14","17","18","34","40","41","6","45"
"19/06/17","20","21","22","27","35","42","2","3"
"12/06/17","5","22","28","34","38","44","15","24"
"05/06/17","2","13","16","22","31","38","19","34"
"29/05/17","11","18","20","22","27","42","2","34"
"22/05/17","6","17","20","33","38","44","16","24"
"15/05/17","15","16","17","34","36","38","1","45"
"08/05/17","4","5","23","25","33","42","20","24"
"01/05/17","6","11","14","17","18","25","16","42"
"24/04/17","9","22","26","28","31","34","13","15"
"17/04/17","21","25","30","38","41","43","14","22"
"10/04/17","6","10","15","29","35","37","32","36"
"03/04/17","3","13","23","24","25","27","7","29"
"27/03/17","3","6","18","20","31","36","9","23"
"20/03/17","6","14","15","19","23","39","28","45"
"13/03/17","6","13","14","19","33","38","20","31"
"06/03/17","3","11","13","17","22","23","20","36"
"27/02/17","14","19","25","26","42","43","22","36"
"20/02/17","3","24","29","31","35","39","19","30"
"13/02/17","13","14","15","16","23","41","22","25"
"06/02/17","7","24","34","35","36","42","8","40"
"30/01/17","14","25","34","37","41","42","4","5"
"23/01/17","9","11","22","25","26","37","7","14"
"16/01/17","5","16","20","21","29","43","9","31"
"09/01/17","10","18","27","33","34","45","23","25"
"02/01/17","2","7","21","31","32","33","9","27"
"26/12/16","2","9","11","18","21","29","40","45"
"19/12/16","4","6","10","11","33","38","23","28"
"12/12/16","7","17","25","31","33","40","18","44"
"05/12/16","3","21","25","29","41","45","24","37"
"28/11/16","26","33","35","37","39","42","21","36"
"21/11/16","4","7","12","33","44","45","10","27"
"14/11/16","3","4","13","25","35","39","15","34"
"07/11/16","7","21","23","26","32","37","8","43"
"31/10/16","8","28","32","37","38","39","11","25"
"24/10/16","3","8","13","19","23","43","16","28"
"17/10/16","11","14","18","26","39","44","8","16"
"10/10/16","2","14","24","33","36","43","10","40"
"03/10/16","3","7","25","39","41","44","12","42"
"26/09/16","1","5","16","18","24","38","15","32"
"19/09/16","3","14","16","27","28","45","13","21"
"12/09/16","5","8","12","21","26","44","14","33"
"05/09/16","13","14","24","25","27","45","40","43"
"29/08/16","21","22","24","25","31","43","32","45"
"22/08/16","4","6","13","19","35","39","2","34"
"15/08/16","3","15","22","24","28","45","12","23"
"08/08/16","2","4","25","29","38","39","6","37"
"01/08/16","5","15","24","26","42","45","4","17"
"25/07/16","16","20","30","36","37","44","8","24"
"18/07/16","3","7","30","39","40","43","31","42"
"11/07/16","6","7","24","27","36","40","11","38"
"04/07/16","1","6","9","12","15","20","25","38"
"27/06/16","1","13","21","22","38","39","41","43"
"20/06/16","14","24","29","35","39","45","16","30"
"13/06/16","10","12","18","30","37","42","16","29"
"06/06/16","3","4","14","16","38","39","23","45"
"30/05/16","8","14","17","20","33","37","5","29"
"23/05/16","6","17","20","25","26","28","13","39"
"16/05/16","4","8","22","24","28","31","6","13"
"09/05/16","9","12","26","29","30","40","7","8"
"02/05/16","11","14","24","25","40","41","32","38"
"25/04/16","8","20","28","29","35","43","1","39"
"18/04/16","1","10","21","22","26","32","35","42"
"11/04/16","9","13","22","26","29","35","30","34"
"04/04/16","27","32","33","35","43","45","16","44"
"28/03/16","10","13","19","22","25","26","29","44"
"21/03/16","9","14","15","18","31","43","2","42"
"14/03/16","5","14","19","20","23","42","3","12"
"07/03/16","5","10","20","33","35","36","6","42"
"29/02/16","5","7","28","33","43","45","16","17"
"22/02/16","4","8","33","34","41","43","19","32"
"15/02/16","9","16","17","23","25","30","14","26"
"08/02/16","11","13","31","33","40","45","26","39"
"01/02/16","13","29","31","36","41","43","3","45"
"25/01/16","8","13","14","17","25","28","23","34"
"18/01/16","6","14","31","41","42","45","25","32"
"11/01/16","3","8","10","23","26","27","5","24"
"04/01/16","2","3","26","30","35","41","21","24"
"28/12/15","18","25","29","31","38","43","22","39"
"21/12/15","6","14","16","27","31","34","17","44"
"14/12/15","2","5","16","19","31","39","6","10"
"07/12/15","12","20","24","28","29","34","13","39"
"30/11/15","16","20","28","30","33","34","6","9"
"23/11/15","4","17","20","21","29","37","34","38"
"16/11/15","10","20","32","34","44","45","8","27"
"09/11/15","5","13","21","23","27","42","3","34"
"02/11/15","15","18","20","22","31","45","17","24"
"26/10/15","2","9","23","26","42","43","10","37"
"19/10/15","15","24","25","28","30","34","16","21"
"12/10/15","3","10","13","16","36","40","7","45"
"05/10/15","4","14","15","16","27","36","1","8"
"28/09/15","8","9","17","30","32","33","1","18"
"21/09/15","5","15","18","25","26","40","3","12"
"14/09/15","2","7","12","20","37","38","28","41"
"07/09/15","2","10","17","26","34","38","3","18"
"31/08/15","4","12","18","32","36","44","27","33"
"24/08/15","9","11","13","15","24","35","23","33"
"17/08/15","12","14","17","25","41","42","31","44"
"10/08/15","4","10","12","16","29","31","9","36"
"03/08/15","12","18","19","24","30","35","22","43"
"27/07/15","8","16","32","35","39","42","3","20"
"20/07/15","3","27","28","31","33","42","39","44"
"13/07/15","1","3","20","24","29","33","7","42"
"06/07/15","4","11","12","27","30","41","29","44"
"29/06/15","6","20","30","32","42","45","37","40"
"22/06/15","22","23","24","37","39","40","19","26"
"15/06/15","12","19","27","28","31","39","2","30"
"08/06/15","5","10","30","32","36","45","11","21"
"01/06/15","8","17","22","30","32","39","6","29"
"25/05/15","5","7","18","34","36","37","6","15"
"18/05/15","2","5","16","23","39","41","38","43"
"11/05/15","1","7","8","16","28","36","2","20"
"04/05/15","3","4","12","17","18","36","15","41"
"27/04/15","14","20","21","26","32","43","1","15"
"20/04/15","2","4","9","29","38","45","5","25"
"13/04/15","5","8","18","27","37","43","22","40"
"06/04/15","25","27","33","40","44","45","6","18"
"30/03/15","17","19","32","33","39","45","15","23"
"23/03/15","18","22","24","26","33","43","7","29"
"16/03/15","13","22","24","29","34","42","2","23"
"09/03/15","1","17","24","27","34","43","2","28"
"02/03/15","6","7","11","31","35","45","15","25"
"23/02/15","3","12","15","25","28","39","26","33"
"16/02/15","5","6","16","27","29","39","12","36"
"09/02/15","17","19","20","21","26","41","25","38"
"02/02/15","6","7","19","28","31","35","2","26"
"26/01/15","9","14","15","25","28","30","21","38"
"19/01/15","6","7","11","32","40","42","35","45"
"12/01/15","15","16","28","29","37","41","3","5"
"05/01/15","7","15","20","29","38","43","1","24"
